0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
insula,anterior insula,disgust,interoceptive,insular cortex,posterior insula,bilateral,ci,ds,process,role,right,involved,interaction,bodily,awareness,sensitive,state,body,information,feeling,well,sensation,visceral,subject,dorsal anterior,core,somatic,cortex,cingulate cortex,attention,internal,frontal operculum,involvement,analysis,sensory,insular region,ventral anterior,representation,insular cortices
picture,valence,arousal,neural,stimuli,viewing,rating,neutral pictures,image,presented,related,contrast,specific,neutral stimuli,set,dimensional,relevant,fixation,see,aversive,brain,subject,finding,effect,general,stimulus,unpleasant,higher,event,experimental,induced,system,well,rate,scale,negative neutral,response,part,pleasant,addition
system,complex,simple,form,structure,process,stem,morphology,ii,like,step,case,well,basic,division,frequency,demand,central,contrast,morphological processing,number,parallel,distribution,fundamental,characteristic,based,temporal,root,supporting,major,sequence,limited,bilateral,general,iv,multi,theories,architecture,feature,section
mpfc,physical,status,medial prefrontal cortex,oc,dorsal,hierarchy,medial prefrontal,x,ventral,role,financial,lower,greater,results,information,research,relationship,scanning,movement,mental,daily,ms,human,echo,causal,people,knowledge,characteristic,form,superior,university,strip,angle,inference,dominant,work,dimensional,formation,everyday
motion,sts,psts,biological,dynamic,static,human,dots,sensitive,region,perception,point,animacy,visual motion,analysis,stimuli,form,movement,random,right,light,motion perception,posterior,optic flow,selective,head,area,superior temporal sulcus,defined,contrast,information,response,hemisphere,like,results,process,cues,task,viewing,posterior superior temporal sulcus
sound,auditory,tone,noise,process,pt,auditory cortex,acoustic,frequency,ear,presented,auditory stimuli,listening,hearing,level,primary auditory cortex,heschl gyrus,pure,duration,temporal,perception,silent,hearing loss,left,bilateral,sensitive,heard,stimuli,may,results,response,area,passive,planum temporale,loudness,related,complex,rate,right,continuous
load,difficult,demand,manipulation,task difficulty,increased,hard,resource,process,level,cognitive load,number,response,trial,dependent,capacity,condition,memory load,linear,set,letter,accuracy,item,maintenance,higher,bilateral,task demands,demanding,cognitive,high,information,lower,one,fluid intelligence,decreased,working memory,theory,presented,model,greater
feature,distractor,binding,based,filtering,accuracy,color,relevant,type,cortex,dimensional,may,contribution,combined,image,top,set,conjunction,specific,absent,conjunction search,cross,without,feature extraction,beta,single,information,role,detection,due,capture,rate,task relevant,selection,search,reported,feature search,bind,sensitive,enhancement
pitch,vocal,vocalization,singing,shift,auditory feedback,interval,neural,tone,auditory,phonation,stg,laryngeal,production,melody,right,voice,may,involved,frequency,interaction,compensate,bilateral,condition,process,difference,simple,planum polare,planum temporale,fixed,fold,speaking,cortical,magnitude,contour,sensory,human,fundamental,musicians,mechanisms
sad,mood,happy,induction,alexithymia,sadness,happiness,neural,rating,brain,scale,healthy,increased,state,film,self report,feeling,stimuli,reported,induced,positive,subject,difference,negative,associated,depression,point,reactivity,higher,affect,model,experience,finding,dimensional,experimental,difficult,presented,cognitive,irritability,total
sequence,practice,day,order,sequential,random,task,performance,retention,sequence learning,motor learning,first,skill,motor,specific,serial,results,behavior,four,structure,test,process,one,dependent,skill learning,position,pattern,change,difference,error,motor sequence learning,representation,ms,number,eg,increased,trial,contrast,response,level
moral,people,violations,harm,judgment,competence,neural,process,norm,response,person,issue,acts,social norm,brain,associated,social,good,behavior,reasoning,results,action,sensitive,decision making,care,individual,presented,psychological,cognition,intuition,may,based,deliberate,story,increased,reported,type,role,contrast,morality
co,olfactory,odor,attentional bias,process,trigeminal,concentration,system,olfaction,intensity,piriform cortex,function,identification,perception,stimulation,smell,threshold,nasal,insula,presented,detection,human,orbitofrontal cortex,paradigm,olfactory bulb,associated,test,structure,order,sensory,one,higher,detected,pea,induced,primary,specific,sniffing,anomia,secondary
speech,left,deaf,hearing,speaker,syllables,speech production,speech perception,stuttering,articulation,sign,phonetic,production,spoken,sts,bilateral,auditory,listening,sign language,acoustic,may,perception,speech processing,task,stream,fluent,neural,noise,superior temporal,greater,intelligibility,speaking,process,language,contrast,region,mouth,hemisphere,signal,lip
language,linguistic,left,broca area,process,language processing,region,structure,function,syntactic,see,pars opercularis,language network,syntactic processing,subject,pars triangularis,well,inferior frontal,inferior frontal gyrus,syntax,case,language production,ba 44,word,order,german,perisylvian,may,specific,dependent,second,role,non,task,first,results,broca,general,one,word order
region,brain,analysis,may,greater,function,show,involved,results,associated,finding,one,suggest,specific,image,work,difference,multiple,research,threshold,addition,thought,first,cortex,general,defined,set,second,average,role,center,least,see,common,large,use,system,process,relationship,left
outcome,gain,loss,probability,expectation,expected,losses,prediction error,trial,unexpected,gambling,pe,monetary,regret,event,one,difference,sensitive,magnitude,value,higher,contrast,results,potential,uncertainty,task,comparison,pes,x,card,signal,reinforcement learning,loss aversion,prediction,model,reported,behavior,role,instrumental,experience
stimulation,contralateral,tactile,si,somatosensory,ipsilateral,sensory,sii,electrical,activation,induced,bilateral,human,afferent,cortical,finger,neuronal,threshold,primary somatosensory cortex,field,subject,somatosensory cortex,frequency,individual,rest,signal,single,maps,vibrotactile,parietal operculum,nerve,unilateral,median nerve,cutaneous,sensation,well,secondary somatosensory cortex,fiber,representation,response
neural,associated,relationship,behavior,may,analysis,related,finding,greater,process,research,region,individual difference,function,results,regression,work,measures,mechanisms,level,brain,future,suggest,complete,well,task,response,based,one,see,multiple,individual,model,understanding,linked,potential,activity,role,effect,ability
selection,competing,facilitation,response selection,mechanisms,biased,increased,demand,may,multiple,active,long term,item,short term,one,based,ms,set,response latency,time,representation,strength,trial,number,sensitive,research,results,dominant,inconsistent,process,resolution,single,modification,subsequent,average,bias,response latencies,driven,role,suggest
image,function,brain,analysis,ms,time,results,effect,level,subject,region,first,head,echo,acquired,signal,contrast,acquisition,high,sequence,te,scanning,one,resolution,correct,anatomical,matrix,model,t1,size,angle,magnetic,group,system,presented,right,linear,reported,field,second
period,delay,sustained,ppc,trial,delayed,transient,maintenance,match,sample,immediate,time,test,event,information,baseline,specific,long,maintaining,interval,human,posterior parietal cortex,short,onset,related,active,multiple,set,representation,retention,persistent,signal,tonic,single,type,preparation,lateral,subject,results,second
decision,choice,value,decision making,trial,behavior,subject,task,preference,one,difference,based,chosen,model,rate,probability,immediate,point,discounting,time,choose,neural,first,analysis,function,individual,making,information,evaluation,uncertainty,delay discounting,utility,process,second,presented,expected,price,reward,see,level
reho,alff,brain,region,spontaneous,value,resting state,function,activity,decreased,frequency,abnormal,increased,may,analysis,low,time,head,results,activities,bilateral,local,motion,difference,image,higher,neural,sample,first,ms,test,precuneus,method,finding,group,size,alteration,related,rest,neuronal
